지역본부명,노선명,시설명,공기압,진공,매트
강원본부,영동선,강릉(강릉),1,1,1
강원본부,영동선,강릉(인천),1,1,1
광주전남본부,무안광주ㆍ광주대구선,강천산(광주),1,1,1
광주전남본부,무안광주ㆍ광주대구선,강천산(대구),1,1,1
대구경북본부,무안광주ㆍ광주대구선,거창(광주),1,1,1
대구경북본부,무안광주ㆍ광주대구선,거창(대구),1,1,1
대구경북본부,경부선,건천(부산),1,1,1
대구경북본부,경부선,건천(서울),1,1,1
대구경북본부,경부선,경산(서울),1,1,1
부산경남본부,경부선,경주(부산),1,2,0
부산경남본부,통영대전ㆍ중부선,고성공룡나라(대전),1,1,1
부산경남본부,통영대전ㆍ중부선,고성공룡나라(통영),1,1,1
전북본부,서해안선,고창고인돌(목포),1,1,1
전북본부,서해안선,고창고인돌(서울),1,1,1
광주전남본부,호남선,곡성(순천),1,1,1
광주전남본부,호남선,곡성(천안),1,1,1
대전충남본부,당진영덕선,공주(당진),1,2,1
대전충남본부,당진영덕선,공주(대전),1,2,1
충북본부,중부내륙선,괴산(양평),1,1,1
충북본부,중부내륙선,괴산(창원),1,1,1
수도권본부,수도권제1순환선,구리(일산),0,0,0
수도권본부,수도권제1순환선,구리남양주(판교),0,0,0
강원본부,동해ㆍ울산포항선,구정(삼척),1,1,1
강원본부,동해ㆍ울산포항선,구정(속초),1,1,1
전북본부,서해안선,군산(목포),1,1,1
전북본부,서해안선,군산(서울),1,1,1
대구경북본부,중앙선,군위(부산),1,1,1
대구경북본부,중앙선,군위(춘천),1,1,1
대전충남본부,경부선,금강(부산),1,1,1
전북본부,통영대전ㆍ중부선,금산인삼랜드(대전),1,1,0
전북본부,통영대전ㆍ중부선,금산인삼랜드(통영),1,1,1
충북본부,평택제천선,금왕(제천),1,1,1
충북본부,평택제천선,금왕(평택),1,1,1
수도권본부,경부선,기흥(부산),1,0,0
대구경북본부,경부선,김천(부산),1,1,1
대구경북본부,경부선,김천(서울),1,1,1
부산경남본부,부산외곽순환선,김해금관가야(기장),1,1,1
부산경남본부,부산외곽순환선,김해금관가야(창원),1,1,1
대구경북본부,중부내륙선,남성주참외(양평),1,2,0
대구경북본부,중부내륙선,남성주참외(창원),1,2,0
강원본부,서울양양선,내린천(서울),1,1,1
강원본부,서울양양선,내린천(양양),1,1,1
대구경북본부,무안광주ㆍ광주대구선,논공(광주),1,1,1
대구경북본부,무안광주ㆍ광주대구선,논공(대구),1,1,1
충북본부,중앙선,단양팔경(부산),1,1,1
충북본부,중앙선,단양팔경(춘천),1,1,1
전북본부,서해안선,대천(목포),1,1,1
전북본부,서해안선,대천(서울),1,1,1
전북본부,통영대전ㆍ중부선,덕유산(대전),1,1,1
전북본부,통영대전ㆍ중부선,덕유산(통영),1,1,1
강원본부,영동선,덕평(강릉),1,1,1
강원본부,영동선,덕평(인천),1,1,1
대구경북본부,중앙선,동명(부산),1,2,1
대구경북본부,중앙선,동명(춘천),1,1,0
강원본부,동해ㆍ울산포항선,동해(삼척),1,1,1
수도권본부,통영대전ㆍ중부선,마장,2,0,0
대전충남본부,경부선,망향(부산),1,2,1
수도권본부,서해안선,매송(목포),1,2,0
수도권본부,서해안선,매송(서울),1,2,0
수도권본부,서해안선,목감(서울),0,0,0
충북본부,중부내륙선,문경(양평),1,1,1
충북본부,중부내륙선,문경(창원),1,2,1
강원본부,영동선,문막(강릉),1,2,1
강원본부,영동선,문막(인천),1,2,1
부산경남본부,남해선,문산(순천),1,1,0
충북본부,당진영덕선,문의청남대(영덕),1,1,1
충북본부,당진영덕선,문의청남대(청주),1,1,1
광주전남본부,호남선,백양사(순천),1,1,1
광주전남본부,호남선,백양사(천안),1,1,1
전북본부,호남선의지선,벌곡(논산),1,1,1
전북본부,호남선의지선,벌곡(대전),1,1,1
광주전남본부,남해선,보성녹차(순천),1,1,1
광주전남본부,남해선,보성녹차(영암),1,1,1
전북본부,서해안선,부안고려청자(목포),1,1,0
전북본부,서해안선,부안고려청자(서울),1,1,0
대전충남본부,서천공주선,부여백제(공주),1,1,1
대전충남본부,서천공주선,부여백제(서천),1,2,1
부산경남본부,남해선,사천(부산),1,1,1
부산경남본부,남해선,사천(순천),1,1,1
부산경남본부,통영대전ㆍ중부선,산청(대전),1,1,1
부산경남본부,통영대전ㆍ중부선,산청(통영),1,1,1
대전충남본부,서해안선,서산(목포),1,1,0
대전충남본부,서해안선,서산(서울),1,1,1
강원본부,중부내륙선,서여주(양평),1,1,1
강원본부,중부내륙선,서여주(창원),1,1,1
수도권본부,경부선,서울만남(부산),1,2,1
전북본부,서해안선,서천(목포),1,1,1
전북본부,서해안선,서천(서울),1,1,0
수도권본부,수도권제1순환선,서하남(판교),2,4,0
충북본부,중부내륙선,선산(양평),1,1,1
충북본부,중부내륙선,선산(창원),1,1,1
광주전남본부,남해선,섬진강(부산),1,1,1
광주전남본부,남해선,섬진강(순천),1,1,1
수도권본부,수도권제1순환선,성남(구리),0,0,0
대구경북본부,중부내륙선,성주(양평),1,1,1
대구경북본부,중부내륙선,성주(창원),1,1,1
충북본부,당진영덕선,속리산(청주),1,1,1
수도권본부,수도권제1순환선,시흥하늘(일산),1,0,0
수도권본부,수도권제1순환선,시흥하늘(판교),0,0,0
대전충남본부,경부선,신탄진(서울),1,1,1
대구경북본부,중앙선,안동(부산),1,1,1
대구경북본부,중앙선,안동(춘천),1,1,1
수도권본부,영동선,안산(강릉),0,0,0
수도권본부,영동선,안산(인천),0,0,0
수도권본부,경부선,안성(부산),1,2,2
수도권본부,경부선,안성(서울),1,2,0
충북본부,평택제천선,안성맞춤(제천),1,2,1
충북본부,평택제천선,안성맞춤(평택),1,2,1
부산경남본부,경부선,양산(서울),1,2,1
부산경남본부,경부선,언양(서울),1,1,0
전북본부,호남선,여산(순천),1,1,1
전북본부,호남선,여산(천안),1,1,1
강원본부,영동선,여주(강릉),1,2,1
강원본부,영동선,여주(인천),1,2,0
부산경남본부,중부내륙선,영산(창원),1,1,1
대구경북본부,익산포항선,영천(대구),1,1,1
대구경북본부,익산포항선,영천(포항),1,1,1
대전충남본부,당진영덕선,예산(당진),1,1,1
대전충남본부,당진영덕선,예산(대전),1,1,1
광주전남본부,순천완주선,오수(순천),1,1,1
광주전남본부,순천완주선,오수(완주),1,1,1
충북본부,통영대전ㆍ중부선,오창(남이),1,1,1
충북본부,통영대전ㆍ중부선,오창(하남),1,1,1
강원본부,동해ㆍ울산포항선,옥계(속초),1,1,1
대전충남본부,경부선,옥산(부산),1,1,1
대전충남본부,경부선,옥천(부산),1,1,1
대전충남본부,경부선,옥천(서울),1,1,0
대전충남본부,경부선,옥천만남의광장,0,1,0
대구경북본부,익산포항선,와촌(포항),1,1,1
부산경남본부,동해ㆍ울산포항선,외동(부산),1,1,1
부산경남본부,동해ㆍ울산포항선,외동(포항),1,1,1
강원본부,영동선,용인(강릉),1,2,0
강원본부,영동선,용인(인천),1,2,0
부산경남본부,밀양울산선,울주(울산),0,0,0
부산경남본부,밀양울산선,울주(함양),1,1,1
강원본부,중앙선,원주(부산),1,1,1
강원본부,중앙선,원주(춘천),1,1,1
충북본부,통영대전ㆍ중부선,음성(남이),1,1,1
충북본부,통영대전ㆍ중부선,음성(하남),1,1,0
대구경북본부,당진영덕선,의성(영덕),1,1,1
대구경북본부,당진영덕선,의성(청주),1,1,1
수도권본부,수도권제1순환선,의왕청계(일산),1,2,0
전북본부,호남선,이서(순천),1,1,0
전북본부,호남선,이서(천안),1,1,0
수도권본부,통영대전ㆍ중부선,이천(남이),1,1,1
수도권본부,통영대전ㆍ중부선,이천(하남),1,3,0
대전충남본부,경부선,입장거봉포도(서울),1,1,1
부산경남본부,남해제2지선,장유(서부산),1,1,1
광주전남본부,남해선,장흥정남진,1,1,1
전북본부,호남선,정읍녹두장군(순천),1,1,1
전북본부,호남선,정읍녹두장군(천안),1,1,1
광주전남본부,호남선,주암(순천),1,1,1
광주전남본부,호남선,주암(천안),1,1,1
대전충남본부,경부선,죽암(부산),1,1,1
대전충남본부,경부선,죽암(서울),1,1,1
수도권본부,경부선,죽전(서울),2,1,0
광주전남본부,무안광주ㆍ광주대구선,지리산(광주),1,1,1
광주전남본부,무안광주ㆍ광주대구선,지리산(대구),1,1,0
전북본부,익산포항선,진안마이산(익산),1,1,1
전북본부,익산포항선,진안마이산(장수),1,1,1
부산경남본부,남해선,진영(부산),0,0,0
부산경남본부,남해선,진영(순천),1,1,1
부산경남본부,남해선,진주(부산),1,2,1
충북본부,평택제천선,천등산(제천),1,2,1
충북본부,평택제천선,천등산(평택),1,2,1
대전충남본부,경부선,천안삼거리(서울),1,1,1
대전충남본부,경부선,천안호두(부산),1,1,1
대구경북본부,당진영덕선,청송(영덕),1,1,1
대구경북본부,당진영덕선,청송(청주),1,1,1
대전충남본부,경부선,청주(서울),1,2,1
대구경북본부,익산포항선,청통(대구),1,1,1
대구경북본부,경부선,추풍령(부산),1,1,1
대구경북본부,경부선,추풍령(서울),1,1,0
강원본부,중앙선,춘천(부산),1,1,1
충북본부,중부내륙선,충주(양평),1,1,1
충북본부,중부내륙선,충주(창원),1,1,1
충북본부,중앙선,치악(부산),1,1,0
충북본부,중앙선,치악(춘천),1,1,0
대구경북본부,경부선,칠곡(부산),1,2,1
대구경북본부,경부선,칠곡(서울),1,2,1
부산경남본부,중부내륙선,칠서(양평),1,1,1
부산경남본부,경부선,통도사(부산),1,2,0
대구경북본부,경부선,평사(부산),2,1,1
강원본부,영동선,평창(강릉),1,1,1
강원본부,영동선,평창(인천),1,1,1
수도권본부,평택제천선,평택(제천),0,0,0
수도권본부,평택제천선,평택(평택),0,0,0
수도권본부,통영대전ㆍ중부선,하남드림(통영),1,1,0
부산경남본부,남해선,함안(부산),2,1,1
부산경남본부,남해선,함안(순천),2,2,0
부산경남본부,통영대전ㆍ중부선,함양(대전),1,1,1
부산경남본부,통영대전ㆍ중부선,함양(통영),1,1,1
광주전남본부,무안광주ㆍ광주대구선,함평나비(광주),1,1,0
광주전남본부,무안광주ㆍ광주대구선,함평나비(무안),1,1,0
광주전남본부,서해안선,함평천지(목포),1,1,1
광주전남본부,서해안선,함평천지(서울),1,1,0
대전충남본부,서해안선,행담도,0,0,0
부산경남본부,중부내륙선의지선,현풍(대구),1,1,1
부산경남본부,중부내륙선의지선,현풍(창원),2,1,1
전북본부,서해안선,홍성(목포),1,1,1
전북본부,서해안선,홍성(서울),1,1,1
강원본부,서울양양선,홍천(서울),1,1,1
강원본부,서울양양선,홍천(양양),1,1,1
강원본부,중앙선,홍천강(춘천),1,1,1
충북본부,당진영덕선,화서(영덕),1,1,1
수도권본부,서해안선,화성(목포),2,2,0
수도권본부,서해안선,화성(서울),2,2,0
대전충남본부,경부선,황간(부산),1,1,0
대전충남본부,경부선,황간(서울),1,1,0
광주전남본부,순천완주선,황전(순천),1,1,1
광주전남본부,순천완주선,황전(완주),1,1,1
강원본부,영동선,횡성(강릉),1,2,0
강원본부,영동선,횡성(인천),1,1,1
부산경남본부,서해안선,서부산(순천),0,0,0
전북본부,순천완주선,춘향(순천),1,1,0
전북본부,순천완주선,춘향(완주),1,1,0
